season,episode,title,viewership,show
11,11,"""The Celebration Reverberation""",13.7,tbbt
11,12,"""The Matrimonial Metric""",16.1,tbbt
11,13,"""The Solo Oscillation""",15.9,tbbt
11,14,"""The Separation Triangulation""",14.9,tbbt
11,15,"""The Novelization Correlation""",14.6,tbbt
11,16,"""The Neonatal Nomenclature""",13.7,tbbt
11,17,"""The Athenaeum Allocation""",13.8,tbbt
11,18,"""The Gates Excitation""",13.2,tbbt
11,19,"""The Tenant Disassociation""",13.0,tbbt
11,20,"""The Reclusive Potential""",12.7,tbbt
11,21,"""The Comet Polarization""",12.9,tbbt
11,22,"""The Monetary Insufficiency""",11.7,tbbt
11,23,"""The Sibling Realignment""",12.9,tbbt
11,24,"""The Bow Tie Asymmetry""",15.5,tbbt
12,1,"""The Conjugal Configuration""",12.9,tbbt
12,2,"""The Wedding Gift Wormhole""",12.0,tbbt
12,3,"""The Procreation Calculation""",12.2,tbbt
12,4,"""The Tam Turbulence""",12.9,tbbt
12,5,"""The Planetarium Collision""",12.2,tbbt
12,6,"""The Imitation Perturbation""",12.9,tbbt
12,7,"""The Grant Allocation Derivation""",12.6,tbbt
12,8,"""The Consummation Deviation""",12.8,tbbt
12,9,"""The Citation Negation""",12.5,tbbt
12,10,"""The VCR Illumination""",12.5,tbbt
12,11,"""The Paintball Scattering""",12.8,tbbt
12,12,"""The Propagation Proposition""",13.5,tbbt
12,13,"""The Confirmation Polarization""",13.3,tbbt
12,14,"""The Meteorite Manifestation""",13.6,tbbt
12,15,"""The Donation Oscillation""",13.9,tbbt
12,16,"""The D&D Vortex""",13.4,tbbt
12,17,"""The Conference Valuation""",12.9,tbbt
12,18,"""The Laureate Accumulation""",12.2,tbbt
12,19,"""The Inspiration Deprivation""",11.4,tbbt
12,20,"""The Decision Reverberation""",11.8,tbbt
12,21,"""The Plagiarism Schism""",12.4,tbbt
12,22,"""The Maternal Conclusion""",12.5,tbbt
12,23,"""The Change Constant""",18.5,tbbt
12,24,"""The Stockholm Syndrome""",18.5,tbbt
1,1,The Pilot,21.5,friends
1,2,The One with the Sonogram at the End,20.2,friends
1,3,The One with the Thumb,19.5,friends
1,4,The One with George Stephanopoulos,19.7,friends
1,5,The One with the East German Laundry Detergent,18.6,friends
1,6,The One with the Butt,18.2,friends
1,7,The One with the Blackout,23.5,friends
1,8,The One Where Nana Dies Twice,21.1,friends
1,9,The One Where Underdog Gets Away,23.1,friends
1,10,The One with the Monkey,19.9,friends
1,11,The One with Mrs. Bing,26.6,friends
1,12,The One with the Dozen Lasagnas,24.0,friends
1,13,The One with the Boobies,25.8,friends
1,14,The One with the Candy Hearts,23.8,friends
1,15,The One with the Stoned Guy,24.8,friends
1,16,"The One with Two Parts, Part I",26.1,friends
1,17,"The One with Two Parts, Part II",30.5,friends
1,18,The One with All the Poker,30.4,friends
1,19,The One Where the Monkey Gets Away,29.4,friends
1,20,The One with the Evil Orthodontist,30.0,friends
1,21,The One with Fake Monica,28.4,friends
1,22,The One with the Ick Factor,29.9,friends
1,23,The One with the Birth,28.7,friends
1,24,The One Where Rachel Finds Out,31.3,friends
2,1,The One with Ross's New Girlfriend,32.1,friends
2,2,The One with the Breast Milk,29.8,friends
2,3,The One Where Heckles Dies,30.2,friends
2,4,The One with Phoebe's Husband,28.1,friends
2,5,The One with Five Steaks and an Eggplant,28.3,friends
2,6,The One with the Baby on the Bus,30.2,friends
2,7,The One Where Ross Finds Out,30.5,friends
2,8,The One with the List,32.9,friends
2,9,The One with Phoebe's Dad,27.8,friends
2,10,The One with Russ,32.2,friends
2,11,The One with the Lesbian Wedding,31.6,friends
2,12,The One After the Super Bowl,52.9,friends
2,14,The One with the Prom Video,33.6,friends
2,15,The One Where Ross and Rachel... You Know,32.9,friends
2,16,The One Where Joey Moves Out,31.1,friends
2,17,The One Where Eddie Moves In,30.2,friends
2,18,The One Where Dr. Ramoray Dies,30.1,friends
2,19,The One Where Eddie Won't Go,31.2,friends
2,20,The One Where Old Yeller Dies,27.4,friends
2,21,The One with the Bullies,24.7,friends
2,22,The One with Two Parties,25.5,friends
2,23,The One with the Chicken Pox,26.1,friends
2,24,The One with Barry and Mindy's Wedding,29.0,friends
3,1,The One with the Princess Leia Fantasy,26.8,friends
3,2,The One Where No One's Ready,26.7,friends
3,3,The One with the Jam,25.2,friends
3,4,The One with the Metaphorical Tunnel,26.1,friends
3,5,The One with Frank Jr.,23.3,friends
3,6,The One with the Flashback,23.3,friends
3,7,The One with the Racecar Bed,27.4,friends
3,8,The One with the Giant Poking Device,28.7,friends
3,9,The One with the Football,29.3,friends
3,10,The One Where Rachel Quits,25.1,friends
3,11,The One Where Chandler Can't Remember Which Sister,29.8,friends
3,12,The One with All the Jealousy,29.6,friends
3,13,The One Where Monica and Richard Are Just Friends,28.0,friends
3,14,The One with Phoebe's Ex-Partner,28.9,friends
3,15,The One Where Ross and Rachel Take a Break,27.3,friends
3,16,The One the Morning After,28.3,friends
3,17,The One Without the Ski Trip,25.8,friends
3,18,The One with the Hypnosis Tape,28.1,friends
3,19,The One with the Tiny T-Shirt,23.7,friends
3,20,The One with the Dollhouse,24.4,friends
3,21,The One with a Chick and a Duck,23.2,friends
3,22,The One with the Screamer,22.6,friends
3,23,The One with Ross's Thing,24.2,friends
3,24,The One with the Ultimate Fighting Champion,23.1,friends
3,25,The One at the Beach,28.8,friends
4,1,The One with the Jellyfish,29.4,friends
4,2,The One with the Cat,25.5,friends
4,3,The One with the Cuffs,24.0,friends
4,4,The One with the Ballroom Dancing,24.3,friends
4,5,The One with Joey's New Girlfriend,24.4,friends
4,6,The One with the Dirty Girl,25.7,friends
4,7,The One Where Chandler Crosses the Line,26.4,friends
4,8,The One with Chandler in a Box,26.8,friends
4,9,The One Where They're Going to Party!,23.9,friends
4,10,The One with the Girl from Poughkeepsie,23.2,friends
4,11,The One with Phoebe's Uterus,23.7,friends
4,12,The One with the Embryos,27.1,friends
4,13,The One with Rachel's Crush,25.3,friends
4,14,The One with Joey's Dirty Day,25.1,friends
4,15,The One with All the Rugby,24.4,friends
4,16,The One with the Fake Party,23.1,friends
4,17,The One with the Free Porn,23.2,friends
4,18,The One with Rachel's New Dress,21.7,friends
4,19,The One with All the Haste,21.8,friends
4,20,The One with All the Wedding Dresses,21.9,friends
4,21,The One with the Invitation,21.5,friends
4,22,The One with the Worst Best Man Ever,23.2,friends
4,23,The One with Ross's Wedding,31.6,friends
5,1,The One After Ross Says Rachel,31.1,friends
5,2,The One with All the Kissing,25.4,friends
5,3,The One Hundredth,26.8,friends
5,4,The One Where Phoebe Hates PBS,24.1,friends
5,5,The One with the Kips,25.9,friends
5,6,The One with the Yeti,25.0,friends
5,7,The One Where Ross Moves In,24.4,friends
5,8,The One with All the Thanksgivings,23.9,friends
5,9,The One with Ross's Sandwich,23.0,friends
5,10,The One with the Inappropriate Sister,23.7,friends
5,11,The One with All the Resolutions,27.0,friends
5,12,The One with Chandler's Work Laugh,24.8,friends
5,13,The One with Joey's Bag,24.9,friends
5,14,The One Where Everybody Finds Out,27.7,friends
5,15,The One with the Girl Who Hits Joey,29.3,friends
5,16,The One with the Cop,26.0,friends
5,17,The One with Rachel's Inadvertent Kiss,24.5,friends
5,18,The One Where Rachel Smokes,21.9,friends
5,19,The One Where Ross Can't Flirt,20.9,friends
5,20,The One with the Ride Along,19.6,friends
5,21,The One with the Ball,20.9,friends
5,22,The One with Joey's Big Break,21.3,friends
5,23,The One in Vegas,25.9,friends
6,1,The One After Vegas,27.7,friends
6,2,The One Where Ross Hugs Rachel,22.9,friends
6,3,The One with Ross's Denial,21.6,friends
6,4,The One Where Joey Loses His Insurance,21.1,friends
6,5,The One with Joey's Porsche,22.4,friends
6,6,The One on the Last Night,23.6,friends
6,7,The One Where Phoebe Runs,22.7,friends
6,8,The One with Ross's Teeth,22.1,friends
6,9,The One Where Ross Got High,19.2,friends
6,10,The One with the Routine,22.4,friends
6,11,The One with the Apothecary Table,22.3,friends
6,12,The One with the Joke,22.3,friends
6,13,The One with Rachel's Sister,24.1,friends
6,14,The One Where Chandler Can't Cry,23.8,friends
6,15,The One That Could Have Been,20.7,friends
6,17,The One with Unagi,22.1,friends
6,18,The One Where Ross Dates a Student,20.5,friends
6,19,The One with Joey's Fridge,21.5,friends
6,20,The One with Mac and C.H.E.E.S.E.,18.8,friends
6,21,The One Where Ross Meets Elizabeth's Dad,20.6,friends
6,22,The One Where Paul's the Man,20.0,friends
6,23,The One with the Ring,20.9,friends
6,24,The One with the Proposal,30.7,friends
7,1,The One with Monica's Thunder,25.54,friends
7,2,The One with Rachel's Book,27.93,friends
7,3,The One with Phoebe's Cookies,22.7,friends
7,4,The One with Rachel's Assistant,22.66,friends
7,5,The One with the Engagement Picture,24.43,friends
7,6,The One with the Nap Partners,22.01,friends
7,7,The One with Ross's Library Book,23.73,friends
7,8,The One Where Chandler Doesn't Like Dogs,16.57,friends
7,9,The One with All the Candy,21.08,friends
7,10,The One with the Holiday Armadillo,23.26,friends
7,11,The One with All the Cheesecakes,24.37,friends
7,12,The One Where They're Up All Night,22.86,friends
7,13,The One Where Rosita Dies,22.24,friends
7,14,The One Where They All Turn Thirty,22.4,friends
7,15,The One with Joey's New Brain,21.75,friends
7,16,The One with the Truth About London,21.22,friends
7,17,The One with the Cheap Wedding Dress,20.84,friends
7,18,The One with Joey's Award,17.81,friends
7,19,The One with Ross and Monica's Cousin,16.55,friends
7,20,The One with Rachel's Big Kiss,16.3,friends
7,21,The One with the Vows,15.65,friends
7,22,The One with Chandler's Dad,17.23,friends
7,23,The One with Monica and Chandler's Wedding,30.05,friends
8,1,"The One After ""I Do""",31.7,friends
8,2,The One with the Red Sweater,30.04,friends
8,3,The One Where Rachel Tells...,29.2,friends
8,4,The One with the Videotape,25.58,friends
8,5,The One with Rachel's Date,25.64,friends
8,6,The One with the Halloween Party,26.96,friends
8,7,The One with the Stain,24.24,friends
8,8,The One with the Stripper,26.54,friends
8,9,The One with the Rumor,24.24,friends
8,10,The One with Monica's Boots,22.44,friends
8,11,The One with Ross's Step Forward,23.85,friends
8,12,The One Where Joey Dates Rachel,25.53,friends
8,13,The One Where Chandler Takes a Bath,29.24,friends
8,14,The One with the Secret Closet,28.64,friends
8,15,The One with the Birthing Video,28.64,friends
8,16,The One Where Joey Tells Rachel,27.52,friends
8,17,The One with the Tea Leaves,26.3,friends
8,18,The One in Massapequa,22.05,friends
8,19,The One with Joey's Interview,22.59,friends
8,20,The One with the Baby Shower,22.24,friends
8,21,The One with the Cooking Class,23.97,friends
8,22,The One Where Rachel Is Late,24.32,friends
8,23,The One Where Rachel Has a Baby,34.91,friends
9,1,The One Where No One Proposes,34.01,friends
9,2,The One Where Emma Cries,28.93,friends
9,3,The One with the Pediatrician,26.63,friends
9,4,The One with the Sharks,25.82,friends
9,5,The One with Phoebe's Birthday Dinner,24.46,friends
9,6,The One with the Male Nanny,27.51,friends
9,7,The One with Ross's Inappropriate Song,25.35,friends
9,8,The One with Rachel's Other Sister,26.76,friends
9,9,The One with Rachel's Phone Number,25.43,friends
9,10,The One with Christmas in Tulsa,22.29,friends
9,11,The One Where Rachel Goes Back to Work,23.67,friends
9,12,The One with Phoebe's Rats,23.66,friends
9,13,The One Where Monica Sings,25.82,friends
9,14,The One with the Blind Date,23.37,friends
9,15,The One with the Mugging,20.85,friends
9,16,The One with the Boob Job,19.52,friends
9,17,The One with the Memorial Service,21.0,friends
9,18,The One with the Lottery,20.79,friends
9,19,The One with Rachel's Dream,18.25,friends
9,20,The One with the Soap Opera Party,20.71,friends
9,21,The One with the Fertility Test,19.03,friends
9,22,The One with the Donor,19.55,friends
9,23,The One in Barbados,25.46,friends
10,1,The One After Joey & Rachel Kiss,24.54,friends
10,2,The One Where Ross Is Fine,22.38,friends
10,3,The One with Ross's Tan,21.87,friends
10,4,The One with the Cake,18.77,friends
10,5,The One Where Rachel's Sister Baby-Sits,19.37,friends
10,6,The One with Ross's Grant,20.38,friends
10,7,The One with the Home Study,20.21,friends
10,8,The One with the Late Thanksgiving,20.66,friends
10,9,The One with the Birth Mother,25.49,friends
10,10,The One Where Chandler Gets Caught,26.68,friends
10,11,The One Where the Stripper Cries,24.91,friends
10,12,The One with Phoebe's Wedding,25.9,friends
10,13,The One Where Joey Speaks French,24.27,friends
10,14,The One with Princess Consuela,22.83,friends
10,15,The One Where Estelle Dies,22.64,friends
10,16,The One with Rachel's Going Away Party,24.51,friends
10,17,The Last One,52.46,friends
